Symbol,Name,Last,"Prev High","Prev Low","1M High","1M Low",Volume,"Prev Vol","1M Avg Vol","Earnings ttm","Book Value","Div Yield"
A,"Agilent Technologies",100.94,101.33,99.59,103.66,94.76,1362100,722300,1295104,3.19,16.16,0.72%
AAL,"American Airlines Gp",12.29,12.66,12.11,14.16,11.22,64945898,47209496,56616297,-7.9,-6.23,0.00%
AAP,"Advance Auto Parts Inc",153.5,153.89,151.66,159.56,142.46,539800,610300,734150,7.57,53.93,0.66%
AAPL,"Apple Inc",115.81,115.31,113.57,137.98,103.1,142207594,100060500,186910328,3.3,4.23,0.72%
ABBV,"Abbvie Inc",87.59,87.28,86.31,96.01,85.32,8194100,5510100,7993159,9.3,8.35,5.43%
ABC,"Amerisourcebergen Corp",96.92,97.58,95.92,100.09,92,1042700,691200,954414,7.62,19.45,1.75%
ABMD,"Abiomed Inc",277.06,279.44,271.31,315.35,256.17,339800,186100,328245,3.72,24.46,0.00%
ABT,"Abbott Laboratories",108.83,106.41,104.92,111.74,100.34,9462899,4470700,5380327,3.01,17.39,1.37%
ACN,"Accenture Plc",225.99,225.17,222.31,247.82,210.42,2250100,2589000,2288714,7.6,27.48,1.43%
ADBE,"Adobe Systems Inc",490.43,493.45,484.17,536.88,452.52,3497800,2043800,3960896,8.04,24.42,0.00%
ADI,"Analog Devices",116.74,117.94,115.84,122.52,110.66,3161500,2303800,3207900,4.66,31.9,2.13%
ADM,"Archer Daniels Midland",46.49,46.58,45.74,48.56,44.42,2583900,1718700,3588959,3.68,34.75,3.13%
ADP,"Automatic Data Procs",139.49,138.51,136.5,144.25,127.31,2850300,1965600,2255959,5.92,13.38,2.65%
ADSK,"Autodesk Inc",231.01,234.38,230.57,261.94,215.83,1463200,956900,1545914,1.99,0.31,0.00%
AEE,"Ameren Corp",79.08,79.37,78.5,81.18,75.27,1444900,898200,1125391,3.42,33.9,2.51%
AEP,"American Electric Power Company",81.73,81.56,80.48,82.1,77.29,2592800,1688900,2502927,4.16,40.92,3.46%
AES,"The Aes Corp",18.11,18.23,17.82,19.12,17.13,6615300,4226800,5093432,1.37,6.98,3.18%
AFL,"Aflac Inc",36.35,36.34,35.6,38.4,34.92,3922300,2908000,4349609,4.68,41.27,3.11%
AIG,"American International Group",27.53,27.65,26.96,30.96,25.57,5338300,4282400,7620882,2.36,72.92,4.69%
AIV,"Apartment Investment and Management",33.72,34.63,33.14,38.09,32.85,1304200,1074600,1635555,1.21,11.92,4.92%
AIZ,"Assurant Inc",121.31,120.97,118.41,126.57,116.11,479800,265200,376050,9.33,100.33,2.09%
AJG,"Arthur J. Gallagher & Company",105.58,105.44,104.35,108.03,100.32,1197800,504300,935886,4.15,28.91,1.72%
AKAM,"Akamai Technologies",110.54,111.98,110.5,120,104.08,1099200,808500,1548664,3.9,24.06,0.00%
ALB,"Albemarle Corp",89.28,87.63,84.78,101,79.06,1350500,1252900,1328114,5.12,39.56,1.77%
ALGN,"Align Technology",327.36,328.92,320,340.29,293.33,686900,452300,704059,21.5,36.11,0.00%
ALK,"Alaska Air Group",36.63,37.42,36.28,43.94,34.83,1921100,1747900,2402541,-0.27,31.5,0.00%
ALL,"Allstate Corp",94.14,93.79,92.29,97.56,88.78,2090400,2403200,2006995,11.97,86.4,2.31%
ALLE,"Allegion Plc",98.91,100.49,98.57,105.67,94.01,1442800,485400,781541,4.71,7.37,1.29%
ALXN,"Alexion Pharm Inc",114.43,114.12,112.03,120.81,102.82,1696500,1021400,2489723,10.95,47.87,0.00%
AMAT,"Applied Materials",59.45,60.25,59.15,65.3,54.15,9034300,5427800,9632187,3.73,10.48,1.48%
AMCR,"Amcor Plc",11.05,10.98,10.77,11.43,10.44,7177800,5108200,8215228,0.45,2.92,4.24%
AMD,"Adv Micro Devices",81.99,82.55,79.3,94.28,73.85,51413801,61633598,57236648,0.68,2.82,0.00%
AME,"Amtek Inc",99.4,100.91,99.3,103.94,94.9,1032400,1046400,871273,4,23.89,0.72%
AMGN,"Amgen Inc",254.16,249.05,245.48,260.06,237.78,3525500,2008400,2736586,15.72,18.2,2.58%
AMT,"American Tower Corp",241.73,242,239.12,268.66,234.97,3339000,3098400,2157968,4.31,9.15,1.90%
AMZN,"Amazon.com Inc",3148.73,3188.26,3132.54,3552.25,2871,4876300,3503300,5460677,26.01,147.19,0.00%
ANET,"Arista Networks Inc",206.93,212,204.95,229.61,192.96,891800,677900,731568,7.95,39.94,0.00%
ANSS,"Ansys Inc",327.23,321.87,317.36,354.87,298.35,682200,474900,451764,4.89,40.16,0.00%
ANTM,"Anthem Inc",268.59,261.75,256.56,284.37,244.1,1312700,862000,1318323,24.43,136.99,1.46%
