Symbol,Name,Open,Last,"Prev Open",Previous,"Open 2D Ago","Last 2D Ago","1M MA","1M High","1M Low",Volume,"Prev Vol","5D Avg Vol","1M Avg Vol"
A,"Agilent Technologies",105.95,106.7,104.1,105.32,105.49,105.06,101.59,107.54,95.44,1039366,722900,917600,1029091
AAL,"American Airlines Gp",12.31,12.46,12.22,12.23,12.35,12.36,12.61,14.08,11.22,32717299,33776102,41473102,56220273
AAP,"Advance Auto Parts Inc",157.52,154.99,154.98,157.52,158.16,156.58,153.74,160.77,142.46,477153,697400,645960,723400
AAPL,"Apple Inc",121.28,119.02,118.72,120.71,121,121.19,114.75,125.39,103.1,115393805,112559195,176314484,153805250
ABBV,"Abbvie Inc",85.89,86.27,85.41,85.23,86.83,86.07,87.34,90.81,84.96,5362675,6193700,6517480,6981727
ABC,"Amerisourcebergen Corp",99.6,99.52,97.89,99.35,97.04,98.44,96.64,100.61,92,1200554,1270500,945580,851527
ABMD,"Abiomed Inc",283.58,286.48,275.09,283.57,280,280.84,271.14,289.31,255.4,262600,263900,240680,314805
ABT,"Abbott Laboratories",107.7,109.67,106.65,107.32,108.61,107.75,106.81,111.57,100.34,4363766,3518900,4209960,4986073
ACN,"Accenture Plc",229.03,230.05,225.59,228.77,228.88,229.43,226.99,239.35,210.42,1796451,1273400,1534360,2199391
ADBE,"Adobe Systems Inc",504,502.82,499.26,501.15,514.34,506.31,488.91,519.6,452.52,2441300,2043100,2421040,2789996
ADI,"Analog Devices",124.75,123.64,121.44,123.98,123.71,123.04,118,126.49,110.66,2232500,2033100,2250640,3049482
ADM,"Archer Daniels Midland",50.04,49.79,48.45,49.94,48.03,48.85,47.58,50.22,44.58,2192310,2759200,3008560,3117668
ADP,"Automatic Data Procs",148.21,148.42,146.52,147.39,149.99,148.51,140.46,152.15,127.31,1146000,1706700,2005240,2131104
ADSK,"Autodesk Inc",253.21,259.97,244,252.03,246.88,246.7,233.74,261.45,215.83,2289500,2638400,1940980,1408945
AEE,"Ameren Corp",81.26,82.39,80.56,81.15,81.24,81.35,79.54,83.4,75.27,953457,636900,843960,1064854
AEP,"American Electric Power Company",89.76,91.52,88.56,89.54,89.53,89.34,84.7,91.69,77.79,1966600,1675200,2265960,2628773
AES,"The Aes Corp",19.93,19.9,19.34,19.86,19.55,19.63,18.69,20.03,17.42,3838879,3941600,4340080,5501918
